Number of Relations, Frequency
33, 88
32, 125
90, 4
21, 79
71, 68
7, 9
80, 109
26, 115
119, 17
18, 30
72, 48
16, 34
84, 15
74, 27
27, 88
95, 11
108, 14
115, 6
20, 60
89, 5
10, 18
31, 59
35, 78
11, 6
78, 130
107, 2
87, 14
93, 9
77, 81
106, 1
65, 5
29, 113
64, 3
97, 1
114, 6
12, 9
15, 45
81, 22
66, 12
101, 1
73, 68
86, 12
76, 31
19, 34
67, 63
70, 30
17, 37
1, 4
116, 20
30, 143
100, 2
110, 41
25, 130
28, 112
120, 1926
75, 187
83, 28
14, 9
69, 124
112, 6
24, 124
22, 72
23, 81
13, 2
105, 3
6, 2
85, 1
36, 10984
94, 2
9, 4
111, 6
8, 4
4, 10
98, 14
34, 292
5, 25
